heart	similar to	pump
mind	similar to	computer
tree	similar to	lungs of the earth
car	similar to	horse
key	similar to	password
brain	similar to	computer
legs	similar to	feet of a table
river	similar to	veins of the body
piano	similar to	musical instrument
wings	similar to	arms of a butterfly
bee	similar to	worker in a factory
pen	similar to	brush
voice	similar to	song
wheels	similar to	pedals of a bicycle
clouds	similar to	cotton balls
eyes	similar to	camera lenses
keyboard	similar to	typewriter
fish	similar to	creatures in an aquarium
trees	similar to	skyscrapers in a city
flowers	similar to	fireworks
keyboard	similar to	musical keyboard
guitar	similar to	lyre
flowers	similar to	blossoms in a garden
fingers	similar to	keys on a keyboard
legs	similar to	pillars of a building
wheels	similar to	gears of a machine
sun	similar to	a huge fire
ears	similar to	radio receivers
bees	similar to	workers in a hive
brain	similar to	supercomputer
leaves	similar to	scales on a fish
flowers	similar to	gems on a necklace
eyes	similar to	windows in a house
trees	similar to	skeletons in a forest
mouth	similar to	drain
waves	similar to	ripples on a pond
brain	similar to	central computer
flowers	similar to	jewels on a crown
legs	similar to	pillars of a house
ears	similar to	microphones
clouds	similar to	cotton tufts
eyes	similar to	binoculars
wings	similar to	sails on a boat
waves	similar to	undulations in the sea
river	similar to	vein in a leaf
trees	similar to	towers in a city
flowers	similar to	buds on a branch
waves	similar to	swells on a lake
brain	similar to	processing center
ears	similar to	horns of an animal
brain	similar to	superintelligence
legs	similar to	supports of a bridge
clouds	similar to	cotton pads
rivers	similar to	veins of a body
flowers	similar to	blooms in a field
wings	similar to	blades on a fan
eyes	similar to	optical instruments
keyboard	similar to	musical composition
waves	similar to	eddies in a sea
fingers	similar to	controls on a machine
mouth	similar to	an inlet
trees	similar to	columns in a building
legs	similar to	columns of a temple
sun	similar to	fire in a furnace
eyes	similar to	optical cameras
waves	similar to	surf on a shore
ears	similar to	audio speakers
river	similar to	flowing liquid
wings	similar to	fins on a plane
trees	similar to	trees in a forest
fingers	similar to	keys on a lock
waves	similar to	ripples on the surface
waves	similar to	swells in an ocean
ears	similar to	sound detectors
clouds	similar to	white puffs of cotton
legs	similar to	supports in a building
eyes	similar to	surveillance cameras
brain	similar to	central processor
finger	similar to	pointer
house	similar to	nest
river	similar to	lifeblood
brain	similar to	control center
wheel	similar to	gear
eye	similar to	camera
leg	similar to	pillar
tongue	similar to	taste bud
finger	similar to	stylus
hand	similar to	instrument
brain	similar to	management system
book	similar to	manual
sun	similar to	nuclear reactor
city	similar to	anthill
nose	similar to	fragrance detector
foot	similar to	foundation
arm	similar to	wing
car	similar to	bullet train
tree	similar to	forest
wave	similar to	ocean
key	similar to	unlocking device
door	similar to	entrance
eye	similar to	telescope
leg	similar to	column
hand	similar to	tool
pen	similar to	writing instrument
brain	similar to	navigation system
river	similar to	highway
car	similar to	motorcycle
foot	similar to	base
voice	similar to	radio
door	similar to	gateway
tree	similar to	forest fire
key	similar to	combination lock
brain	similar to	database
wave	similar to	tsunami
car	similar to	bus
book	similar to	journal
finger	similar to	pointer finger
river	similar to	canal
tree	similar to	garden
door	similar to	entranceway
voice	similar to	songbird
brain	similar to	processor
car	similar to	locomotive
eye	similar to	magnifying glass
leg	similar to	strut
sun	similar to	star
tree	similar to	woodlot
car	similar to	truck
river	similar to	waterway
key	similar to	master key
finger	similar to	index finger
book	similar to	dictionary
wave	similar to	ripple
car	similar to	taxi
tree	similar to	sapling
door	similar to	threshold
voice	similar to	vocalist
brain	similar to	computer chip
car	similar to	vehicle
tree	similar to	orchard
river	similar to	watercourse
hand	similar to	glove
key	similar to	latchkey
foot	similar to	foothold
car	similar to	van
book	similar to	novel
finger	similar to	forefinger
wave	similar to	ocean wave
door	similar to	gate
tree	similar to	forest reserve
voice	similar to	chime
brain	similar to	algorithm
car	similar to	carriages
river	similar to	brook
key	similar to	secret key
foot	similar to	foundation stone
eye	similar to	monocle
hand	similar to	palm
car	similar to	automobile
tree	similar to	plantation
river	similar to	estuary
book	similar to	reference book
finger	similar to	thumb
voice	similar to	singer
brain	similar to	cpu
car	similar to	carpool
tree	similar to	woods
door	similar to	opening
wave	similar to	tide
car	similar to	rv
book	similar to	textbook
finger	similar to	pinky
tree	similar to	sapwood
key	similar to	cipher key
river	similar to	stream
car	similar to	bike
river	similar to	blood vessel
eyes	similar to	camera
home	similar to	nest
tongue	similar to	language translator
body	similar to	vehicle
house	similar to	castle
city	similar to	ant colony
mouth	similar to	instrument
heart	similar to	furnace
knee	similar to	hinge
ear	similar to	radio
song	similar to	poem
