cup	on	table
bird	above	tree
fish	in	water
book	beside	lamp
car	in	parking
box	under	chair
picture	on	wall
bike	behind	house
cat	inside	house
chair	beside	sofa
kite	in	sky
dog	on	beach
phone	in	pocket
book	on	desk
man	on	bike
child	in	stroller
flower	in	pot
cat	on	lap
boat	on	lake
hat	on	head
shoe	on	foot
chair	under	table
baby	in	crib
key	in	lock
pen	in	hand
bird	in	nest
car	in	garage
boy	beside	girl
box	beside	book
fish	on	ice
woman	on	horse
tree	in	garden
key	on	keychain
cat	under	couch
phone	in	bag
girl	on	shoulders
dog	beside	owner
bag	on	shoulder
dog	in	kennel
picture	in	frame
boy	in	bathtub
car	on	road
cup	in	hand
boy	beside	friend
cat	on	cat tree
girl	on	swing
man	on	motorcycle
cat	in	house
hat	in	closet
baby	on	chest
book	in	library
dog	in	car
man	in	office
key	on	keyring
girl	beside	brother
car	behind	truck
man	on	bicycle
boy	in	playground
fish	on	coral
cat	beside	mouse
picture	on	canvas
dog	on	leash
girl	on	horseback
cat	under	bed
boy	in	classroom
car	in	driveway
man	beside	woman
cat	in	basket
picture	in	album
boy	beside	sister
dog	in	yard
car	on	highway
cat	on	fence
man	in	meeting
woman	on	stage
girl	on	trampoline
cat	in	carrier
boy	beside	park
car	in	alley
man	on	train
dog	in	park
picture	on	wall clock
boy	in	elevator
girl	on	slide
car	behind	van
man	beside	colleague
dog	on	pier
cat	in	carrier bag
picture	on	mirror
boy	in	playroom
cat	on	mat
girl	beside	neighbor
car	in	lot
man	on	skateboard
woman	in	restaurant
picture	in	picture frame
cat	under	stairs
boy	in	pool
car	on	ramp
man	in	church
girl	on	seesaw
dog	in	hotel
picture	on	wall art
car	behind	bus
man	on	horse
girl	in	shopping cart
cat	in	attic
boy	on	swing set
car	in	traffic
man	beside	stranger
dog	on	dock
picture	on	placemat
boy	in	treehouse
car	on	boat
man	in	meeting room
woman	beside	coworker
cat	on	pillow
boy	beside	baby
dog	in	crate
picture	in	photo album
apple	on	counter
dog	under	bed
kite	above	building
book	on	shelf
cup	in	sink
bike	on	sidewalk
bird	on	branch
key	in	pocket
table	beside	sofa
cat	on	windowsill
pencil	on	desk
flower	in	vase
chair	behind	couch
boat	in	harbor
book	on	nightstand
rabbit	in	cage
chair	beside	desk
pen	in	pencil case
table	in	dining room
book	beside	radio
boy	on	couch
dog	on	rug
box	in	storage
key	on	hook
cat	on	chair
girl	on	horse
book	on	bookshelf
fish	in	aquarium
box	beside	box
cat	beside	dog
picture	on	fridge
pen	on	table
girl	beside	mom
box	on	pallet
boy	on	swing
book	on	coffee table
dog	beside	park
table	in	living room
boy	on	skateboard
car	beside	motorcycle
cat	in	box
dog	on	porch
book	beside	pillow
girl	beside	sister
boy	beside	dad
cat	beside	cat
picture	on	door
dog	in	house
book	on	mantle
car	in	parking lot
box	in	drawer
cat	under	cabinet
boy	on	tricycle
bird	on	tree branch
cat	on	cabinet
picture	on	clock
girl	beside	cousin
boy	on	skateboard ramp
dog	beside	fence
girl	on	beach
box	on	crate
boy	beside	brother
picture	on	wall hanging
dog	on	grass
cat	beside	bed
book	on	easel
car	in	drive
girl	on	swing set
dog	in	backyard
cat	on	couch
picture	on	shelf
girl	beside	grandma
boy	on	chair
box	in	storage unit
dog	on	porch swing
book	on	stand
picture	on	easel stand
boy	on	bike
cat	beside	litter box
car	in	parking garage
pencil	in	backpack
dog	near	park
child	in	crib
chair	beside	couch
box	under	bed
bike	on	bike rack
rabbit	in	burrow
chair	at	desk
suitcase	in	airport
fish	near	coral
box	in	trunk
pen	in	pocket
house	near	beach
person	on	train
book	beside	computer
chair	in	corner
cat	under	table
rabbit	on	fence
box	in	attic
cat	on	roof
key	in	purse
fish	near	river
chair	in	foyer
person	in	office
box	under	stairs
book	on	bedside table
person	on	escalator
chair	beside	fireplace
fish	in	pond
child	in	shopping cart
car	on	autobahn
person	in	elevator
fish	near	seaweed
cat	on	bed
key	in	door
rabbit	on	rock
chair	in	entrance
book	on	console
box	in	basement
person	on	bus
fish	in	lake
chair	at	table
child	on	knee
book	on	dresser
car	on	expressway
rabbit	in	meadow
key	in	wallet
person	on	ladder
chair	in	hallway
box	in	shelf
car	in	alleyway
fish	near	reef
person	in	theater
car	on	highway exit
book	on	piano
cat	in	laundry basket
dog	on	sidewalk
chair	at	counter
person	on	bridge
box	under	shelf
cat	on	shelf
rabbit	in	burrow entrance
fish	in	ocean
chair	in	nook
dog	on	path
person	on	stairs
picture	on	easel
boy	near	playground
ball	under	table
chair	next	sofa
phone	on	desk
plant	in	pot
dog	behind	fence
house	on	hill
bicycle	in	garage
person	at	airport
chair	beside	bed
flower	in	garden
tree	beside	road
computer	on	desk
vase	on	table
clock	on	wall
person	in	tunnel
car	over	bridge
leaf	on	tree
box	in	cabinet
book	in	backpack
person	in	crowd
bird	above	building
car	through	tunnel
box	beside	chair
ball	in	air
person	at	concert
bird	in	birdhouse
flower	in	bouquet
vase	on	mantle
person	on	mountain
bird	over	field
box	in	boxcar
person	in	line
bag	in	bag
book	in	suitcase
car	across	street
bird	in	sky
person	on	beach
pen	in	cup
person	in	audience
fish	in	stream
box	in	container
bird	above	water
book	in	textbook
bag	on	hook
bird	over	mountain
flower	in	potting soil
chair	beside	chair
person	on	stage
cat	beside	food bowl
person	beside	chair
ball	in	basket
apple	in	fruit bowl
shoe	on	rack
door	beside	frame
glass	on	table
bike	in	shed
coin	in	purse
box	on	desk
chair	behind	sofa
book	under	bed
phone	on	nightstand
person	in	bed
dog	beside	person
phone	in	case
box	beside	door
book	on	stack
car	outside	house
box	in	crate
picture	on	desk
plant	on	windowsill
person	above	ground
cup	on	saucer
chair	beside	table
bike	in	storage
box	on	shelf
phone	in	phone case
person	in	pool
glass	on	shelf
cup	in	mug
box	in	box
plant	beside	plant
person	beside	person
book	on	ledge
person	above	tree
tree	above	house
book	beside	book
dog	beside	dog
plant	in	garden
bike	in	garage
chair	beside	window
car	beside	car
person	in	bathtub
glass	in	cup
phone	on	hook
box	on	counter
dog	beside	chair
car	in	yard
person	above	cloud
picture	on	picture frame
plant	on	desk
chair	behind	chair
bike	beside	fence
cat	beside	person
car	outside	park
book	on	paper
person	in	room
car	beside	sidewalk
dog	beside	doghouse
tree	in	forest
person	beside	river
person	in	airplane
book	on	table
box	in	package
plant	beside	garden
book	beside	friend
picture	on	board
person	in	swimming pool
dog	beside	gate
person	above	mountain
book	beside	desk
picture	on	picture
box	in	truck
person	in	boat
plant	beside	path
book	beside	bookshelf
car	beside	parking lot
house	near	school
dog	on	couch
girl	in	classroom
pen	on	desk
mouse	on	keyboard
boy	at	table
dog	outside	yard
kite	in	wind
person	on	bike
ball	on	field
box	inside	boxcar
book	under	table
chair	in	library
bag	over	shoulder
rabbit	in	hutch
boy	beside	pool
flower	beside	rose
dog	behind	couch
person	on	horse
boy	at	beach
pen	in	pen holder
book	above	piano
dog	in	carrier
bird	in	aviary
dog	on	rock
bird	above	ground
dog	beside	pool
car	on	ferry
flower	on	vase
person	at	podium
bird	on	tree
box	inside	truck
car	in	tunnel
boat	on	dock
book	above	table
book	in	bag
picture	on	tv
bird	above	house
girl	beside	pool
flower	beside	bush
book	above	bookshelf
person	on	chair
box	inside	cabinet
book	in	folder
dog	beside	friend
boy	under	blanket
plane	above	clouds
house	beside	river
girl	on	bed
boat	on	water
doll	on	shelf
dog	under	table
box	in	room
woman	beside	man
bike	on	road
bird	outside	window
book	in	hand
man	under	bridge
plane	on	runway
doll	in	dollhouse
tree	above	ground
clock	in	pocket
