petal	is a part of	flower
tire	is a component of	bicycle
seed	is contained in	fruit
wheel	is a component of	car
leaf	part of	tree
neuron	is a component of	brain
piston	is a part of	engine
pixel	is a component of	screen
cell	is a part of	organ
gear	is a component of	machine
atom	is a component of	molecule
fin	is a part of	fish
bolt	is a component of	lock
thread	is a part of	fabric
blade	is a part of	windmill
spring	is a component of	watch
page	is a part of	book
valve	is a component of	plumbing
lug	is a part of	wheel
segment	is a part of	pizza
handle	is a part of	door
brick	is a component of	building
spoke	is a part of	wheel
stem	is a part of	plant
pipe	is a part of	pipe organ
cylinder	is a component of	engine
screw	is a component of	machine
pageant	is a part of	show
button	is a component of	shirt
axis	is a component of	compass
fiber	is a component of	fabric
lug	is a part of	shoe
handle	is a part of	toolbox
spring	is a component of	mattress
piston ring	is a part of	engine
cell membrane	is a part of	cell
rotor	is a component of	motor
stud	is a part of	engine
blade	is a part of	propeller
pin	is a component of	hinge
shaft	is a component of	machinery
wire	is a part of	circuit
leg	is a part of	table
clip	is a component of	earbuds
blade	is a part of	fan
core	is a part of	exercise bike
strut	is a part of	bridge
plate	is a part of	table
plate	is a part of	cd player
clip	is a component of	camera
spring	is a component of	bed
core	is a part of	apple
screw	is a component of	jar
axle	is a part of	wheelbarrow
stem	is a part of	stemware
wheel	is a part of	skateboard
screw	is a component of	toaster
cell body	is a part of	cell
frame	is a part of	picture
leg	is a part of	table leg
spring	is a component of	piano
plug	is a component of	outlet
gear	is a part of	transmission
piston	is a part of	compressor
socket	is a component of	screwdriver
pin	is a component of	lock
strut	is a part of	tent
wheel	is a part of	unicycle
stem	is a part of	plant stem
pin	is a part of	cufflink
core	is a part of	donut
screw	is a component of	screwdriver
axis	is a part of	bicycle
core	is a part of	pineapple
pin	is a component of	badge
piston	is a part of	diesel engine
strut	is a part of	crutch
plate	is a part of	platter
thread	is a part of	yarn
button	is a component of	glove
lug	is a part of	cleat
plug	is a component of	socket
screw	is a component of	bolt
axis	is a part of	ferris wheel
spring	is a component of	trampoline
wheel	is a part of	ferris wheel
core	is a part of	cactus
acorn	is contained in	oak
key	is a component of	lock
pedal	is a component of	bicycle
blade	part of	knife
wing	part of	airplane
handle	is a component of	cup
piston	is a component of	engine
rod	is a component of	engine
valve	is a component of	engine
gear	is a component of	transmission
axle	is a component of	wheel
hub	is a component of	wheel
nut	is a component of	bolt
shaft	is a component of	engine
crankshaft	is a component of	engine
camshaft	is a component of	engine
branch	part of	tree
trunk	part of	tree
